sloc1	scate2	platform	clks	clks_one_day
202	171	app	1253	179
2032	125	app	173	24
2032	710	pc	25	3
2032	712	m	5	0
2032	8543	app	73	10
2032	97	pc	10	1
2038	23065	m	41	5
2040	207	app	15	2
2040	8717	m	1	0
2041	125	pc	108	15
2041	460	m	121	17
2041	8543	pc	52	7
2043	8523	pc	11	1
2044	14255	pc	93	13
2044	14419	m	34	4
2044	24056	pc	19	2
2044	35694	pc	127	18
2045	23065	app	136	19
2046	37861	app	3	0
2046	8692	app	2	0
2047	35828	m	33	4
2047	36014	app	49	7
2049	8752	pc	9	1
2052	23087	m	173	24
2052	350	m	25	3
2054	23065	pc	21	3
2054	356	app	90	12
2054	35828	app	171	24
2055	37861	pc	1	0
2055	8692	pc	2	0
2192	8537	pc	8	1
2192	8609	app	16	2
222	133	app	292	41
2247	14502	pc	160	22
2247	22431	app	315	45
2248	128	m	20	2
2248	14286	pc	20	2
2248	8546	m	2	0
228	26513	m	72	10
228	8537	pc	100	14
228	8609	app	175	25
2284	171	app	8	1
2284	36011	pc	13	1
2296	95	app	5325	760
2299	111	pc	40	5
2299	26513	m	19	2
2299	8719	app	86	12
2302	8444	pc	9	1
2302	8516	app	214	30
2307	311	m	17	2
2315	798	pc	9	1
2319	145	pc	37	5
2319	14539	app	2	0
2319	309	m	11	1
2323	311	pc	41	5
2325	14000	pc	56	8
2325	26531	m	94	13
2328	14379	m	43	6
2328	460	app	330	47
2328	712	pc	12	1
2329	207	pc	29	4
2329	26517	app	2	0
2337	460	pc	17	2
2342	26521	pc	4	0
2342	26523	m	135	19
2342	8659	m	32	4
2344	14379	pc	3	0
2347	29389	pc	10	1
2347	360	pc	34	4
2347	8445	pc	24	3
2347	8609	m	6	0
2350	113	app	4	0
2350	14363	pc	12	1
2350	203	pc	85	12
2350	26513	app	21	3
2354	8537	pc	31	4
2354	8609	app	66	9
2360	8523	m	132	18
2363	8609	pc	29	4
2364	190	pc	20	2
2364	36012	app	97	13
2371	23065	m	42	6
2372	37861	m	38	5
2373	36014	m	1	0
2373	8752	app	41	5
