sloc1	scate2	ps1	ps1a	as1	clk01	cost1	cash1	dispuser1	dispsub1	realcostuser1	realcostsub1
977	145	29	0	0	0	0.0	0.0	0	0	0	0
979	125	158	0	0	0	0.0	0.0	0	0	0	0
979	8543	7	0	0	0	0.0	0.0	0	0	0	0
9799	8645	41	0	0	0	0.0	0.0	0	0	0	0
9837	125	193	0	0	0	0.0	0.0	0	0	0	0
9837	8543	14	0	0	0	0.0	0.0	0	0	0	0
984	8493	275	0	0	0	0.0	0.0	0	0	0	0
9871	14379	15	0	0	0	0.0	0.0	0	0	0	0
993	309	45	24	24	0	0.0	0.0	1	1	0	0
9993	113	4	0	0	0	0.0	0.0	0	0	0	0
9993	35984	14	0	0	0	0.0	0.0	0	0	0	0
1	234	9998	3830	33698	59	1143.07	898.14	13	14	13	14
10015	128	31	0	0	0	0.0	0.0	0	0	0	0
10015	26520	4	0	0	0	0.0	0.0	0	0	0	0
10015	8546	12	0	0	0	0.0	0.0	0	0	0	0
10039	36488	17	0	0	0	0.0	0.0	0	0	0	0
1005	8608	29	0	0	0	0.0	0.0	0	0	0	0
10106	14379	30	0	0	0	0.0	0.0	0	0	0	0
10115	190	25	0	0	0	0.0	0.0	0	0	0	0
10120	26523	58	0	0	0	0.0	0.0	0	0	0	0
10171	34807	2	0	0	0	0.0	0.0	0	0	0	0
10171	611	93	0	0	0	0.0	0.0	0	0	0	0
10184	8855	2	0	0	0	0.0	0.0	0	0	0	0
10285	156	340	7	7	0	5.96	3.97	0	0	0	0
10387	360	53	0	0	0	0.0	0.0	0	0	0	0
10387	8445	20	0	0	0	0.0	0.0	0	0	0	0
1039	26531	51	0	0	0	0.0	0.0	0	0	0	0
1039	8719	180	0	0	0	0.0	0.0	0	0	0	0
10394	8537	26	0	0	0	0.0	0.0	0	0	0	0
10417	26515	13	0	0	0	0.0	0.0	0	0	0	0
10454	130	39	0	0	0	0.0	0.0	0	0	0	0
10467	118	28	0	0	0	0.0	0.0	0	0	0	0
10485	35691	3	0	0	0	0.0	0.0	0	0	0	0
10506	26516	13	0	0	0	0.0	0.0	0	0	0	0
10513	22431	50	0	0	0	0.0	0.0	0	0	0	0
10513	8516	408	0	0	0	0.0	0.0	0	0	0	0
10539	460	55	0	0	0	0.0	0.0	0	0	0	0
10552	203	184	0	0	0	0.0	0.0	0	0	0	0
1057	26513	66	0	0	0	0.0	0.0	0	0	0	0
1086	37861	16	0	0	0	0.0	0.0	0	0	0	0
122	171	795	0	0	0	0.0	0.0	0	0	0	0
135	203	1799	1045	2329	21	59.7	36.72	2	2	1	1
14357	14502	10	0	0	0	0.0	0.0	0	0	0	0
14357	8444	19	0	0	0	0.0	0.0	0	0	0	0
