sloc1	scate2	sloc-scate	online_price	member_price
483	8537	483-8537	14.4	10.8
342	35828	342-35828	14.4	10.8
1	171	1-171	14.4	10.8
858	8523	858-8523	14.4	10.8
158	8537	158-8537	14.4	10.8
606	35828	606-35828	14.4	10.8
37	26516	37-26516	14.4	10.8
837	8537	837-8537	14.4	10.8
858	8493	858-8493	14.4	10.8
606	8445	606-8445	14.4	10.8
16	8516	16-8516	14.4	10.8
4	8719	4-8719	14.4	10.8
10229	203	10229-203	14.4	10.8
629	611	629-611	14.4	10.8
413	8537	413-8537	14.4	10.8
9444	460	9444-460	14.4	10.8
16	360	16-360	14.4	10.8
2393	460	2393-460	14.4	10.8
122	199	122-199	14.4	10.8
5632	130	5632-130	14.4	10.8
858	360	858-360	14.4	10.8
669	8537	669-8537	14.4	10.8
10467	156	10467-156	14.4	10.8
5632	168	5632-168	14.4	10.8
304	26516	304-26516	14.4	10.8
5	309	5-309	14.4	10.8
2299	8523	2299-8523	14.4	10.8
783	8516	783-8516	14.4	10.8
37	171	37-171	14.4	10.8
413	8543	413-8543	14.4	10.8
265	35828	265-35828	14.4	10.8
858	133	858-133	14.4	10.8
147	145	147-145	14.4	10.8
3489	111	3489-111	14.4	10.8
2053	8543	2053-8543	14.4	10.8
16	460	16-460	14.4	10.8
882	360	882-360	14.4	10.8
2337	203	2337-203	14.4	10.8
