sloc1	scate2	platform	clks_one_day	sloc-scate	online_price	member_price	valid_rate_new	jz_clks_one_day	predict_clks	pos_ctr	common_pos_jz	common_pos_zd	start_pos	end_pos	zd_get_clks	acp_jz	zd_cnt	zdprice
385	34806	m	4	385-34806	14.4	10.8	0.67	1.0	2.68	0.0689655172414	1.0	0	2.0	7.0	0.0	1.28285714286	5.0	0.0
385	34806	pc	10	385-34806	14.4	10.8	0.8	1.0	8.0	0.197183098592	1.0	0	2.0	7.0	1.0	0.91	5.0	0.18
385	34806	app	9	385-34806	14.4	10.8	1.0	0.0	9.0	0.409090909091	1.0	0	2.0	7.0	4.0	1.0	5.0	0.8
394	14455	pc	30	394-14455	50.88	38.16	0.65	2.0	19.5	0.17619047619	5.0	2	6.0	12.0	2.0	1.05666666667	6.0	0.35
394	14455	app	189	394-14455	50.88	38.16	1.0	14.0	189.0	0.284202569917	4.0	2	5.0	11.0	14.0	1.31321428571	6.0	3.06
394	14455	m	79	394-14455	50.88	38.16	0.93	6.0	73.47	0.197486535009	4.0	2	5.0	11.0	6.0	1.2625	6.0	1.26
403	95	m	183	403-95	41.28	30.96	0.95	14.0	173.85	0.256430241621	3.0	1	4.0	9.0	14.0	0.99	5.0	2.77
403	95	pc	26	403-95	41.28	30.96	0.86	6.0	22.36	0.122340425532	3.0	1	4.0	9.0	3.0	1.09	5.0	0.65
403	95	app	481	403-95	41.28	30.96	1.0	15.0	481.0	0.255489614243	2.0	1	3.0	8.0	15.0	1.10571428571	5.0	3.32
407	460	pc	1	407-460	14.4	10.8	1.0	0.0	1.0	0.416666666667	1.0	2	2.0	8.0	0.0	1.0	6.0	0.0
407	460	app	6	407-460	14.4	10.8	1.0	0.0	6.0	0.478260869565	1.0	2	2.0	8.0	3.0	1.0	6.0	0.5
407	460	m	15	407-460	14.4	10.8	0.84	1.0	12.6	0.409523809524	1.0	2	2.0	8.0	1.0	2.96428571429	6.0	0.49
413	111	pc	91	413-111	45.36	34.02	0.7	20.0	63.7	0.175738724728	4.0	1	5.0	10.0	11.0	1.106875	5.0	2.44
413	111	app	81	413-111	45.36	34.02	1.0	13.0	81.0	0.269366197183	5.0	1	6.0	11.0	13.0	1.02416666667	5.0	2.66
413	111	m	260	413-111	45.36	34.02	0.76	47.0	197.6	0.163377192982	4.0	1	5.0	10.0	32.0	0.966666666667	5.0	6.19
413	26531	app	65	413-26531	43.2	32.4	0.93	7.0	60.45	0.249452954048	6.0	0	7.0	12.0	7.0	1.4105	5.0	1.97
413	26531	m	59	413-26531	43.2	32.4	0.95	7.0	56.05	0.0861244019139	10.0	0	11.0	16.0	5.0	1.26511111111	5.0	1.27
413	26531	pc	59	413-26531	43.2	32.4	0.77	8.0	45.43	0.101449275362	6.0	0	7.0	12.0	5.0	1.0975	5.0	1.1
413	35984	m	17	413-35984	14.4	10.8	0.98	1.0	16.66	0.284552845528	1.0	1	2.0	7.0	1.0	0.9	5.0	0.18
413	35984	pc	13	413-35984	14.4	10.8	1.0	1.0	13.0	0.115789473684	1.0	1	2.0	7.0	1.0	0.9	5.0	0.18
413	35984	app	9	413-35984	14.4	10.8	1.0	0.0	9.0	0.538461538462	1.0	1	2.0	7.0	5.0	0.9	5.0	0.9
483	14502	m	18	483-14502	32.64	24.48	1.0	0.0	18.0	0.7109375	0.0	4	1.0	9.0	13.0		8.0	
483	14502	pc	111	483-14502	32.64	24.48	1.0	0.0	111.0	0.320102432778	0.0	4	1.0	9.0	36.0		8.0	
483	14502	app	74	483-14502	32.64	24.48	1.0	0.0	74.0	0.721153846154	0.0	4	1.0	9.0	53.0		8.0	
483	8442	pc	44	483-8442	20.16	15.12	1.0	0.0	44.0	0.37216828479	0.0	0	1.0	6.0	16.0		5.0	
483	8442	app	264	483-8442	20.16	15.12	1.0	0.0	264.0	0.448350459708	0.0	0	1.0	6.0	118.0		5.0	
483	8442	m	57	483-8442	20.16	15.12	1.0	0.0	57.0	0.498746867168	0.0	0	1.0	6.0	28.0		5.0	
5	8493	app	67	5-8493	51.12	38.34	1.0	13.0	67.0	0.250526315789	6.0	0	7.0	12.0	13.0	2.953	5.0	7.68
5	8493	m	49	5-8493	51.12	38.34	1.0	15.0	49.0	0.0898550724638	20.0	0	21.0	26.0	4.0	1.64	5.0	1.31
5	8493	pc	143	5-8493	51.12	38.34	0.71	18.0	101.53	0.343313373253	9.0	0	10.0	15.0	18.0	2.28416666667	5.0	8.22
518	199	m	2	518-199	14.4	10.8	1.0	0.0	2.0	0.333333333333	1.0	0	2.0	7.0	1.0		5.0	
518	199	pc	1	518-199	14.4	10.8	1.0	0.0	1.0	0.0909090909091	1.0	0	2.0	7.0	0.0		5.0	
518	199	app	15	518-199	14.4	10.8	1.0	0.0	15.0	0.490740740741	1.0	0	2.0	7.0	7.0		5.0	
531	14326	app	108	531-14326	26.64	19.98	1.0	5.0	108.0	0.332010582011	3.0	1	4.0	9.0	5.0	0.9	5.0	0.9
531	14326	m	83	531-14326	26.64	19.98	1.0	6.0	83.0	0.250428816467	4.0	1	5.0	10.0	6.0	0.86	5.0	1.03
531	14326	pc	54	531-14326	26.64	19.98	0.61	3.0	32.94	0.15625	4.0	1	5.0	10.0	3.0	0.9	5.0	0.54
541	34323	app	149	541-34323	34.56	25.92	1.0	1.0	149.0	0.540669856459	1.0	3	2.0	9.0	1.0		7.0	
541	34323	m	161	541-34323	34.56	25.92	0.99	1.0	159.39	0.496905393457	1.0	3	2.0	9.0	1.0	1.14111111111	7.0	0.16
541	34323	pc	18	541-34323	34.56	25.92	0.68	1.0	12.24	0.159090909091	1.0	3	2.0	9.0	1.0		7.0	
